id	species_name
organism:1	Homo sapiens
organism:10	Mus musculus
organism:11	
organism:12	Drosophila melanogaster
organism:14	Acetobacter tropicalis
organism:15	Bacillus kochii
organism:16	Enterococcus durans
organism:17	Bacillus flexus
organism:18	Lactobacillus brevis
organism:19	Lactobacillus plantarum
organism:2	
organism:20	Paenibacillus taichungensis
organism:21	Leuconostoc mesenteroides
organism:22	Acetobacter pomorum
organism:23	Escherichia coli
organism:27	
organism:28	Bacillus subtilis
organism:29	Saccharomyces cerevisiae
organism:3	Drosophila pseudoobscura
organism:30	Saccharomyces cerevisiae
organism:31	Escherichia coli
organism:32	Yarrowia lipolytica
organism:33	Yarrowia lipolytica
organism:34	Yarrowia lipolytica
organism:35	Yarrowia lipolytica
organism:36	Saccharomyces cerevisiae
organism:37	Saccharomyces cerevisiae
organism:38	Saccharomyces cerevisiae
organism:39	Escherichia coli
organism:4	Drosophila melanogaster
organism:40	Saccharomyces cerevisiae
organism:41	
organism:56	Saccharomyces cerevisiae
organism:57	Escherichia coli
organism:58	Bacillus subtilis
organism:59	Bacillus subtilis
organism:6	Drosophila melanogaster
organism:60	Bacillus subtilis
organism:61	Escherichia coli
organism:62	Yarrowia lipolytica
organism:63	Escherichia coli
organism:64	Bacillus subtilis
organism:65	Bacillus subtilis
organism:66	Bacillus subtilis
organism:67	Mus musculus
organism:69	Citrobacter freundii
organism:70	
organism:71	Pichia pastoris
organism:72	Pichia pastoris
organism:73	Yarrowia lipolytica
organism:74	Yarrowia lipolytica
organism:75	Yarrowia lipolytica
organism:76	Yarrowia lipolytica
organism:77	Komagataella pastoris
organism:78	Yarrowia lipolytica
organism:79	Pseudomonas aeruginosa
organism:8	Drosophila melanogaster
organism:80	Pseudomonas aeruginosa
organism:81	Pseudomonas aeruginosa
organism:82	Pseudomonas aeruginosa
organism:83	Pseudomonas aeruginosa
organism:84	Pseudomonas aeruginosa
organism:85	Bacillus subtilis
organism:86	Salmonella enterica
organism:87	Vibrio natriegens
organism:88	Escherichia coli
organism:89	Escherichia coli
organism:9	Drosophila melanogaster
organism:90	Escherichia coli
organism:91	Saccharomyces cerevisiae
organism:9993	Drosophila melanogaster
organism:9994	Drosophila melanogaster
organism:9995	Drosophila melanogaster
